comp	data	data_pct	max_range	min_range
Cd	565	1.0244786944696282	0.24990931249546566	0.0
Yb	620	1.1242067089755214	0.16666669499999914	0.0
Cs	654	1.1858567543064369	0.45649449999999997	0.0
N	707	1.2819582955575703	0.43809	0.0
Mn	825	1.4959202175883952	0.2307692299999999	0.0
S	981	1.7787851314596554	0.5882335411763479	0.0
Ce	985	1.7860380779691751	0.1578947157894716	0.0
Er	999	1.811423390752493	0.16070900482127012	0.0
I	1038	1.8821396192203084	0.4626865722388057	0.0
Mo	1328	2.407978241160471	0.219512202195122	0.0
Cl	1364	2.473254759746147	0.6315789126315783	0.0
As	1379	2.500453309156845	0.3990284942938925	0.0
Ga	1410	2.556663644605621	0.3341646133665845	0.0
Cu	1711	3.102447869446963	0.40625	0.0
Sn	1998	3.622846781504986	0.2831921116108766	0.0
Ag	2203	3.9945602901178603	0.4779661716949257	0.0
Ta	2306	4.181323662737987	0.28252458666483954	0.0
Y	2340	4.242973708068902	0.1842101871052869	0.0
Gd	2587	4.6908431550317315	0.17913201074792065	0.0
Ge	2620	4.7506799637352675	0.3333333333333333	0.0
V	3190	5.784224841341795	0.2832861495750653	0.0
Fe	3322	6.023572076155938	0.31578946842105315	0.0
W	3998	7.2493200362647325	0.23076921615384516	0.0
F	4230	7.669990933816863	0.6442973999999999	0.0
Sb	4335	7.86038077969175	0.47	0.0
Sr	4525	8.204895738893926	0.409090879545456	0.0
Te	4564	8.27561196736174	0.3291140055949381	0.0
Nb	4665	8.458748866727108	0.2631574078947223	0.0
Bi	5352	9.704442429737082	0.3764	0.0
La	6036	10.944696282864914	0.30962	0.0
Pb	6361	11.533998186763373	0.476190504761905	0.0
Zr	7051	12.785131459655485	0.20166670000000006	0.0
Ti	7614	13.805983680870353	0.2727267081818013	0.0
Mg	9155	16.60018132366274	0.4847626826454961	0.0
Ba	11049	20.034451495920216	0.2439038097561524	0.0
K	12000	21.758839528558475	0.49700600000000006	0.0
Ca	13397	24.29193109700816	0.3076923307692331	0.0
Zn	13862	25.135086128739804	0.3210912128436485	0.0
Li	14326	25.976427923844064	0.584283864942968	0.0
P	14493	26.2792384406165	0.28148149802962946	0.0
Al	19104	34.640072529465094	0.3665540293243223	0.0
Na	19731	35.77697189483228	0.5672930722026395	0.0
B	25186	45.668177697189485	0.4011207108302592	0.0
Si	27819	50.44242973708069	0.3315751804370643	0.0
O	55150	100.0	0.7450566596045328	0.1
