Yb	Pb	Ca	Ti	Mo	Sn	Cd	Ag	La	Cs	W	Sb	Ta	V	Fe	Bi	Ce	Nb	Cu	I	B	Te	Al	Zr	Gd	Na	Ga	Cl	S	Si	O	F	Mn	Ba	K	Zn	N	Li	Ge	Y	Sr	P	Mg	Er	As	Tg	target	predicted_target	predicted_Tg
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1836736	0.0	0.0	0.0	0.0	0.1020399	0.0	0.040816419999999985	0.0	0.0	0.0	0.0	0.0	0.0	0.04081686	0.5918368	0.0	0.0	0.0	0.0	0.0	0.0	0.040816419999999985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	656.15	0.4518783788437036	0.4557639	661.792
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1415660946204884	0.0	0.08734793668077842	0.004016133847386914	0.0	0.10040019618479254	0.0	0.0	0.0	0.004016133847386914	0.5903626775662182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07229082725294858	0.0	0.0	0.0	726.15	0.5000860851899037	0.49168667	713.9537
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1425189957244301	0.0	0.0	0.0	0.0	0.0	0.09501132714966018	0.0	0.0	0.0	0.0	0.0	0.0	0.1425189957244301	0.5771959826841205	0.0	0.0	0.0	0.0	0.0	0.042754698717359034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1090.15	0.7507661581901448	0.7435119	1079.6165
0.0	0.0	0.053095284159518745	0.0	0.0	0.0	0.0	0.0	0.026431717092511117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33109206357987303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5893809351680971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	933.15	0.64264315967081	0.63669574	924.5141
0.0	0.10588230952940787	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6588235592941204	0.0	0.0	0.0	0.0	0.02352941211764709	0.0	0.0	0.0	0.0	0.0	0.21176471905882474	0.0	0.0	0.0	598.15	0.41193485072828057	0.41879886	608.1169
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023391809766081902	0.0	0.0	0.0	0.0	0.0	0.0	0.046783619532163805	0.0	0.0	0.0	0.19298249807017506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6725145932748541	0.0	0.0	0.010233919897660804	0.0	0.0	0.0	0.0	0.0	0.0	0.030701749692982505	0.023391809766081902	0.0	0.0	0.0	686.15	0.47253882442064654	0.46917194	681.26117
0.0	0.07569198181660755	0.0	0.0	0.0	0.0	0.04512378108297075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036390430873370336	0.0	0.1979619047510857	0.0	0.02183367052400809	0.0	0.0	0.0	0.0	0.0	0.0	0.004366676104800226	0.4206685100960442	0.18195160436683847	0.0	0.0	0.0	0.016011440384274572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	653.15	0.4498123342860093	0.44948113	652.66907
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06168446215895618	0.0	0.0	0.0	0.014234880498220815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15421110539738872	0.02846975099644129	0.0	0.007117438249110339	0.009489917332147107	0.0	0.03795967132858849	0.0	0.0	0.0	0.5954923208422312	0.0	0.0	0.0	0.0	0.022538550788849275	0.0	0.03795967132858849	0.011862400415184014	0.01897983066429408	0.0	0.0	0.0	0.0	0.0	823.15	0.5668881925553526	0.56475866	820.05786
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21186281207618032	0.0	0.008929753508995952	0.0	0.0	0.06463681368429837	0.0	0.0	0.0	0.10910360621890558	0.5935907338346719	0.0	0.0	0.011876280676948002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	803.15	0.553114562170724	0.5384994	781.9281
0.0	0.0	0.0	0.0380952421714288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05054945288131882	0.00842490948021984	0.0	0.0	0.0	0.0	0.0	0.14505490826812978	0.6084249346802214	0.0	0.0380952421714288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00366300420879124	0.0	0.10769230613846148	0.0	0.0	978.15	0.6736338280362244	0.6732938	977.6563
0.0	0.12820510641025532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6153846307692316	0.051282052564102634	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2051282102564105	0.0	0.0	0.0	593.15	0.40849144313212343	0.418424	607.57263
